                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.03721,                  0.995,                      1,                0.31889,             0.00025454,             0.00025454,             0.00025454
                     67,                0.03733,                   0.99,                      1,                0.32387,             0.00024747,             0.00024747,             0.00024747
                     68,                0.04298,                 0.9925,                      1,                0.32066,              0.0002404,              0.0002404,              0.0002404
                     69,                0.03424,                0.99375,                      1,                0.31931,             0.00023334,             0.00023334,             0.00023334
                     70,                0.03887,                0.99375,                      1,                0.31939,             0.00022627,             0.00022627,             0.00022627
                     71,                0.04352,                 0.9925,                      1,                0.32044,              0.0002192,              0.0002192,              0.0002192
                     72,                  0.038,                0.99125,                      1,                0.32059,             0.00021213,             0.00021213,             0.00021213
                     73,                0.03274,                0.99125,                      1,                0.32037,             0.00020506,             0.00020506,             0.00020506
                     74,                0.03331,                  0.995,                      1,                0.32015,             0.00019799,             0.00019799,             0.00019799
                     75,                0.03387,                 0.9925,                      1,                0.31989,             0.00019092,             0.00019092,             0.00019092
                     76,                0.03255,                   0.99,                      1,                0.32187,             0.00018385,             0.00018385,             0.00018385
                     77,                0.03178,                   0.99,                      1,                0.32174,             0.00017679,             0.00017679,             0.00017679
                     78,                0.03205,                 0.9925,                      1,                0.32029,             0.00016972,             0.00016972,             0.00016972
                     79,                0.02983,                0.99375,                      1,                0.31919,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0342,                0.99125,                      1,                0.31953,             0.00015558,             0.00015558,             0.00015558
                     81,                0.04798,                0.99125,                      1,                0.32092,             0.00014851,             0.00014851,             0.00014851
                     82,                0.03802,                0.99125,                      1,                0.32117,             0.00014144,             0.00014144,             0.00014144
                     83,                0.02569,                 0.9925,                      1,                0.32048,             0.00013437,             0.00013437,             0.00013437
                     84,                0.02962,                 0.9925,                      1,                0.32099,             0.00012731,             0.00012731,             0.00012731
                     85,                0.04269,                 0.9925,                      1,                0.31947,             0.00012024,             0.00012024,             0.00012024
                     86,                0.04097,                0.99375,                      1,                0.31916,             0.00011317,             0.00011317,             0.00011317
