epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6946,0.79142,2.64829,1.19528,0.0042,0.97143,0.55507,0.37452,0.46206,3.04178,1.05619,0.00012,0.00012,0.00012
2,18.3217,0.7259,2.48846,1.23342,0.00432,1,0.67976,0.44021,0.59657,3.08512,1.16648,0.000259743,0.000259743,0.000259743
3,24.7111,0.76403,2.27058,1.19472,0.00432,1,0.70367,0.47445,0.58149,3.07077,1.18309,0.000399208,0.000399208,0.000399208
4,30.7644,0.77093,2.00281,1.21908,0.00432,1,0.67807,0.48401,0.59886,3.03841,1.21436,0.000538396,0.000538396,0.000538396
5,37.0642,0.81284,1.74153,1.21909,0.00432,1,0.69703,0.41606,0.78163,3.08362,1.46412,0.000677307,0.000677307,0.000677307
6,42.9518,0.86887,1.63643,1.26713,0.00432,1,0.46704,0.25053,0.90965,3.16906,1.57074,0.000815941,0.000815941,0.000815941
7,49.8935,0.93485,1.62171,1.31929,0.00432,1,0.6234,0.3541,1.15272,3.10809,1.91061,0.000954298,0.000954298,0.000954298
8,56.6709,0.89681,1.50163,1.24594,0.00432,1,0.59374,0.26766,1.13713,3.12375,1.87756,0.00109238,0.00109238,0.00109238
9,64.065,0.87462,1.47841,1.23459,0.0042,0.97143,0.19346,0.09827,1.63745,3.26394,2.23085,0.00123018,0.00123018,0.00123018
10,70.518,0.93895,1.46154,1.3209,0.00395,0.91429,0.23093,0.1084,1.64462,3.24132,2.22129,0.0013677,0.0013677,0.0013677
11,77.7328,0.94338,1.43835,1.27233,0.86423,0.18276,0.43512,0.1567,1.52872,3.10601,2.31419,0.00150495,0.00150495,0.00150495
12,85.3775,0.9239,1.40018,1.26459,0.95553,0.28571,0.61964,0.28334,1.28449,2.92786,2.13682,0.00164192,0.00164192,0.00164192
