epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,381.906,0.8011,0.93024,1.18628,0.8065,0.25714,0.24991,0.16878,1.41668,1.597,2.12405,0.0012674,0.0012674,0.0012674
39,400.098,0.81647,0.90121,1.21924,0.89434,0.48378,0.52018,0.34513,1.30406,1.58695,1.93594,0.0012476,0.0012476,0.0012476
40,415.464,0.70603,0.86817,1.12734,0.70381,0.37143,0.3607,0.2565,1.15189,1.58355,1.76861,0.0012278,0.0012278,0.0012278
41,431.695,0.73933,0.89222,1.18952,0.98235,0.25714,0.26341,0.18668,1.13192,1.64465,1.70971,0.001208,0.001208,0.001208
42,452.228,0.72219,0.83367,1.13116,0.90554,0.34286,0.35831,0.18699,1.31284,1.77998,1.94611,0.0011882,0.0011882,0.0011882
43,469.645,0.76604,0.9104,1.17477,0.62529,0.37143,0.35525,0.21131,1.2836,1.68935,1.95148,0.0011684,0.0011684,0.0011684
44,488.744,0.70347,0.88652,1.15664,0.82488,0.31429,0.34971,0.24447,1.0666,1.53855,1.78588,0.0011486,0.0011486,0.0011486
45,507.724,0.73139,0.84889,1.18832,0.7567,0.31429,0.31053,0.20314,1.07091,1.54655,1.7863,0.0011288,0.0011288,0.0011288
46,524.308,0.67163,0.80992,1.09564,0.89069,0.34286,0.35063,0.24063,1.13557,1.69652,1.83367,0.001109,0.001109,0.001109
47,546.864,0.74721,0.90894,1.20549,0.55966,0.45714,0.44369,0.26879,1.16984,1.70117,1.83861,0.0010892,0.0010892,0.0010892
48,565.777,0.67672,0.79801,1.15427,0.75932,0.4,0.41374,0.24458,1.13952,1.73049,1.76445,0.0010694,0.0010694,0.0010694
49,584.979,0.66751,0.74203,1.12581,0.87474,0.39912,0.39157,0.25254,1.12444,1.61375,1.71144,0.0010496,0.0010496,0.0010496
50,604.964,0.62649,0.75637,1.07585,0.76896,0.45714,0.47928,0.33092,1.09333,1.52294,1.65772,0.0010298,0.0010298,0.0010298
51,619.82,0.65606,0.77957,1.11168,0.73347,0.25714,0.24776,0.19119,1.15623,1.63916,1.75462,0.00101,0.00101,0.00101
52,641.012,0.76923,0.78199,1.22014,0.9359,0.42857,0.43055,0.29666,1.17527,1.69492,1.76801,0.0009902,0.0009902,0.0009902
53,660.257,0.70225,0.76161,1.13034,0.85463,0.4,0.39529,0.26913,1.17757,1.74468,1.78261,0.0009704,0.0009704,0.0009704
54,680.73,0.59414,0.71857,1.04125,0.58677,0.51429,0.47483,0.28361,1.13147,1.70029,1.79205,0.0009506,0.0009506,0.0009506
55,698.006,0.64125,0.75702,1.10083,0.69735,0.6,0.59013,0.38421,1.02754,1.64366,1.60745,0.0009308,0.0009308,0.0009308
56,715.864,0.60746,0.70006,1.1068,0.72533,0.65714,0.68035,0.44842,1.11364,1.58931,1.69346,0.000911,0.000911,0.000911
57,737.008,0.69867,0.79349,1.14922,0.71994,0.73464,0.74696,0.4982,1.10816,1.5948,1.71267,0.0008912,0.0008912,0.0008912
58,759.999,0.63374,0.73017,1.09351,0.59694,0.8,0.69469,0.50073,1.01867,1.6313,1.66234,0.0008714,0.0008714,0.0008714
59,780.595,0.60974,0.67963,1.06916,0.69403,0.62857,0.63742,0.43915,1.01236,1.82819,1.66711,0.0008516,0.0008516,0.0008516
60,799.297,0.61138,0.66929,1.06959,0.62906,0.71429,0.61892,0.38084,1.05496,1.80447,1.7052,0.0008318,0.0008318,0.0008318
61,818.379,0.60431,0.69577,1.05262,0.66521,0.71429,0.69944,0.44998,1.05191,1.69212,1.69469,0.000812,0.000812,0.000812
62,835.728,0.60831,0.71503,1.07322,0.74383,0.62857,0.73695,0.50724,0.9878,1.52182,1.58497,0.0007922,0.0007922,0.0007922
63,849.418,0.57262,0.65585,1.03048,0.59991,0.85714,0.75649,0.50465,0.9507,1.5778,1.51495,0.0007724,0.0007724,0.0007724
64,863.254,0.51028,0.60305,1.01676,0.67152,0.82857,0.7954,0.48233,0.97375,1.56804,1.51426,0.0007526,0.0007526,0.0007526
65,877.748,0.58156,0.6709,1.09272,0.71558,0.74286,0.78869,0.48384,0.98979,1.5486,1.55139,0.0007328,0.0007328,0.0007328
66,902.66,0.62481,0.65551,1.06057,0.70865,0.68571,0.76896,0.47413,0.92844,1.51193,1.5338,0.000713,0.000713,0.000713
67,919.501,0.60916,0.69097,1.05235,0.76231,0.64168,0.73536,0.49095,0.90623,1.56207,1.53012,0.0006932,0.0006932,0.0006932
68,933.509,0.54338,0.64026,1.02943,0.7255,0.67977,0.66287,0.46956,0.95045,1.56564,1.54878,0.0006734,0.0006734,0.0006734
69,948.198,0.55388,0.61676,1.04027,0.6688,0.74286,0.63777,0.43776,0.98089,1.58101,1.58722,0.0006536,0.0006536,0.0006536
70,965.595,0.55046,0.6122,1.01839,0.69806,0.68571,0.62256,0.43274,0.99811,1.58952,1.60832,0.0006338,0.0006338,0.0006338
71,981.252,0.62151,0.68719,1.12776,0.67173,0.64334,0.64842,0.45495,0.94394,1.5897,1.52055,0.000614,0.000614,0.000614
72,993.499,0.59072,0.65084,1.06778,0.6892,0.69713,0.6827,0.49884,0.92964,1.45608,1.51349,0.0005942,0.0005942,0.0005942
73,1010.2,0.58688,0.63526,1.06524,0.66486,0.73698,0.67674,0.50702,0.96394,1.42561,1.5542,0.0005744,0.0005744,0.0005744
74,1026.84,0.48823,0.56463,1.01141,0.63549,0.59781,0.42796,0.29176,0.92287,1.41434,1.49096,0.0005546,0.0005546,0.0005546
75,1049.74,0.60559,0.66952,1.07278,0.65885,0.82857,0.68043,0.50928,0.82928,1.41769,1.39915,0.0005348,0.0005348,0.0005348
76,1069.23,0.53684,0.60622,1.03658,0.6259,0.76495,0.68185,0.50932,0.83417,1.47297,1.41065,0.000515,0.000515,0.000515
77,1087.14,0.52672,0.57781,1.00844,0.52397,0.57143,0.47343,0.3143,0.81755,1.53487,1.37961,0.0004952,0.0004952,0.0004952
78,1102.52,0.46365,0.52742,0.98469,0.71227,0.70743,0.67953,0.49824,0.83978,1.59302,1.40968,0.0004754,0.0004754,0.0004754
79,1121.18,0.49392,0.57868,1.03561,0.64011,0.71429,0.62137,0.44488,0.85484,1.52575,1.43537,0.0004556,0.0004556,0.0004556
80,1142.35,0.54066,0.6262,1.06871,0.68688,0.71429,0.66629,0.50921,0.878,1.43891,1.43543,0.0004358,0.0004358,0.0004358
81,1162.44,0.50226,0.56087,1.03138,0.68189,0.71429,0.68331,0.52927,0.89152,1.36624,1.43639,0.000416,0.000416,0.000416
82,1179.09,0.57704,0.63574,1.06409,0.66853,0.74286,0.70479,0.54177,0.89182,1.31041,1.43171,0.0003962,0.0003962,0.0003962
83,1199.03,0.51582,0.56884,1.02325,0.63077,0.53707,0.45808,0.32568,0.91302,1.38714,1.47249,0.0003764,0.0003764,0.0003764
84,1218.44,0.48098,0.57927,0.98683,0.87944,0.25714,0.25516,0.19077,0.91052,1.50285,1.50744,0.0003566,0.0003566,0.0003566
85,1241.25,0.50565,0.56505,1.00168,0.88948,0.25714,0.25521,0.18651,0.92492,1.56304,1.519,0.0003368,0.0003368,0.0003368
86,1261.63,0.46464,0.50657,0.98157,0.8627,0.2,0.19628,0.14435,0.9576,1.61654,1.55487,0.000317,0.000317,0.000317
87,1283.1,0.48161,0.52671,0.99431,1,0.25594,0.25833,0.1833,1.04148,1.52382,1.63542,0.0002972,0.0002972,0.0002972
88,1303.72,0.49482,0.53353,1.02092,0.74447,0.66613,0.71711,0.49164,1.03523,1.52425,1.61128,0.0002774,0.0002774,0.0002774
89,1321.53,0.46484,0.56431,1.02947,0.70677,0.68873,0.72524,0.50664,0.9913,1.58981,1.55772,0.0002576,0.0002576,0.0002576
90,1342.06,0.48254,0.51774,1.02369,0.72965,0.74286,0.73929,0.51191,0.97684,1.52484,1.55798,0.0002378,0.0002378,0.0002378
91,1378.01,0.37609,0.57329,0.91486,0.71002,0.74286,0.74198,0.52116,0.95668,1.52257,1.56767,0.000218,0.000218,0.000218
92,1398.25,0.38219,0.55224,0.91434,0.68149,0.74286,0.72962,0.52767,0.97865,1.48578,1.59566,0.0001982,0.0001982,0.0001982
93,1427.3,0.37105,0.58,0.93974,0.69795,0.68571,0.72693,0.52728,0.99132,1.48355,1.61008,0.0001784,0.0001784,0.0001784
94,1448.38,0.34964,0.50145,0.90758,0.68636,0.77143,0.73089,0.52512,0.99042,1.49721,1.62782,0.0001586,0.0001586,0.0001586
95,1467.56,0.35048,0.51845,0.89484,0.68641,0.77143,0.72819,0.53026,0.97403,1.52305,1.60657,0.0001388,0.0001388,0.0001388
96,1491.31,0.36409,0.48718,0.91865,0.66167,0.74286,0.72802,0.53182,0.97732,1.52943,1.59973,0.000119,0.000119,0.000119
97,1508.62,0.32991,0.47487,0.90451,0.66204,0.74286,0.73323,0.53642,0.97808,1.52914,1.5981,9.92e-05,9.92e-05,9.92e-05
98,1525.41,0.35977,0.45951,0.91879,0.64384,0.74286,0.74273,0.53599,0.96399,1.55022,1.57299,7.94e-05,7.94e-05,7.94e-05
99,1541.79,0.36706,0.47434,0.92377,0.83606,0.62857,0.75071,0.54486,0.96677,1.51344,1.58416,5.96e-05,5.96e-05,5.96e-05
100,1565.19,0.32756,0.46172,0.8926,0.81257,0.62857,0.75633,0.55052,0.95885,1.49389,1.58937,3.98e-05,3.98e-05,3.98e-05
