epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5154,0.79142,2.64829,1.19528,0.0042,0.97143,0.55507,0.37452,0.46206,3.04178,1.05619,0.00012,0.00012,0.00012
2,17.9931,0.71918,2.48522,1.23187,0.0042,0.97143,0.71285,0.47546,0.58486,3.10022,1.1345,0.000257426,0.000257426,0.000257426
3,24.1984,0.77507,2.29233,1.20223,0.00432,1,0.67453,0.43324,0.60904,3.08687,1.22194,0.00039208,0.00039208,0.00039208
4,30.5893,0.73882,2.02242,1.19187,0.00432,1,0.64876,0.45412,0.6464,3.02378,1.25205,0.000523962,0.000523962,0.000523962
5,37.0315,0.77696,1.75862,1.18071,0.00432,1,0.72272,0.44122,0.7402,3.04351,1.37335,0.000653072,0.000653072,0.000653072
6,43.5053,0.86297,1.60634,1.27257,0.0042,0.97143,0.71603,0.43336,0.76734,3.03918,1.42326,0.00077941,0.00077941,0.00077941
7,50.6119,0.87813,1.47423,1.28095,0.32755,0.54286,0.33908,0.15848,1.12653,3.21094,1.93919,0.000902976,0.000902976,0.000902976
8,56.9098,0.88786,1.43615,1.24778,0.02289,0.77143,0.21735,0.10316,1.37893,3.31226,2.29293,0.00102377,0.00102377,0.00102377
9,63.2301,0.88311,1.37242,1.2474,0.01057,0.8,0.35728,0.1439,1.4556,3.32979,2.32138,0.00114179,0.00114179,0.00114179
10,68.5603,0.90259,1.44769,1.30947,0.01175,0.8,0.21371,0.0832,1.68062,3.42373,2.79763,0.00125704,0.00125704,0.00125704
11,75.6082,0.88237,1.34638,1.23373,0.04865,0.74286,0.37671,0.1926,1.11109,3.11749,1.74254,0.00136952,0.00136952,0.00136952
12,82.4232,0.90188,1.34476,1.25235,1,0.18746,0.46056,0.27659,1.11259,2.89339,1.78533,0.00147923,0.00147923,0.00147923
13,88.6713,0.88277,1.36813,1.28393,0.63032,0.37143,0.45064,0.30378,1.01437,2.80364,1.74659,0.00158616,0.00158616,0.00158616
14,95.9745,0.95414,1.28401,1.33328,0.45914,0.28571,0.38181,0.23951,1.32282,2.91027,2.51242,0.00169032,0.00169032,0.00169032
15,103.875,0.95021,1.33417,1.3044,0.57578,0.37143,0.4847,0.31063,1.25665,2.70482,1.90148,0.0017228,0.0017228,0.0017228
16,113.012,1.02759,1.30859,1.32733,0.46543,0.51429,0.4355,0.25153,1.35505,2.75829,2.12419,0.001703,0.001703,0.001703
17,122.468,0.99509,1.36802,1.29729,0.60271,0.51429,0.54608,0.31643,1.44781,2.85245,2.23979,0.0016832,0.0016832,0.0016832
18,133.239,0.94916,1.28079,1.3563,0.63483,0.11429,0.13953,0.0453,2.26784,3.51482,3.22443,0.0016634,0.0016634,0.0016634
19,144.231,0.87464,1.23132,1.27292,0.41864,0.22857,0.2077,0.12067,1.7408,3.14847,2.44452,0.0016436,0.0016436,0.0016436
20,154.486,0.91643,1.28389,1.31153,0.33202,0.31429,0.21815,0.12107,1.87589,3.23202,2.75385,0.0016238,0.0016238,0.0016238
21,166.041,0.96611,1.29299,1.35096,0.57367,0.28571,0.29285,0.15035,1.63998,2.9401,2.50164,0.001604,0.001604,0.001604
22,178.103,1.02388,1.42444,1.47202,0.46008,0.31429,0.31622,0.15232,1.66665,2.81549,2.05581,0.0015842,0.0015842,0.0015842
23,189.57,0.82622,1.14041,1.22732,0.22231,0.22857,0.21841,0.11356,1.91681,2.74887,2.26731,0.0015644,0.0015644,0.0015644
24,199.803,0.81124,1.11349,1.22194,0.19036,0.31429,0.127,0.06749,1.96861,2.79122,2.2891,0.0015446,0.0015446,0.0015446
25,211.833,0.80709,1.04257,1.17381,0.25318,0.28571,0.13338,0.06613,2.01053,3.49902,2.42082,0.0015248,0.0015248,0.0015248
26,222.76,0.823,1.11944,1.21189,0.28144,0.25714,0.15126,0.09128,1.86781,3.07777,2.55198,0.001505,0.001505,0.001505
27,233.548,0.78937,1.05861,1.21181,0.72338,0.4,0.43101,0.21403,1.64566,2.16904,2.46129,0.0014852,0.0014852,0.0014852
28,244.028,0.85641,1.08316,1.22429,0.56391,0.51429,0.46566,0.23545,1.59335,2.03328,2.59974,0.0014654,0.0014654,0.0014654
29,256.041,0.82803,1.01933,1.23415,0.35873,0.48571,0.34992,0.17708,1.60391,2.38671,2.52891,0.0014456,0.0014456,0.0014456
30,266.259,0.87089,1.09196,1.24083,0.45858,0.34286,0.32834,0.16668,1.90698,3.04492,2.75006,0.0014258,0.0014258,0.0014258
31,278.263,0.9253,1.16896,1.2818,0.49622,0.33788,0.34112,0.18301,1.55273,3.05909,2.31,0.001406,0.001406,0.001406
32,289.441,0.83742,1.05377,1.20548,0.52104,0.51429,0.39414,0.25838,1.2008,2.13782,1.90172,0.0013862,0.0013862,0.0013862
33,300.976,0.90327,1.05323,1.24389,0.51493,0.4,0.34917,0.24582,1.15811,2.05202,1.77803,0.0013664,0.0013664,0.0013664
34,313.798,0.76924,1.04336,1.18532,0.52193,0.31429,0.26885,0.16442,1.19923,1.99747,1.84021,0.0013466,0.0013466,0.0013466
35,327.628,0.77647,0.94362,1.17511,0.63517,0.31429,0.29853,0.19179,1.17004,1.78253,1.76393,0.0013268,0.0013268,0.0013268
36,346.287,0.74416,0.98099,1.17762,0.89084,0.25714,0.2574,0.16481,1.22834,1.67069,1.97547,0.001307,0.001307,0.001307
37,362.892,0.70652,0.859,1.15628,0.89558,0.31429,0.3233,0.16208,1.26368,1.65447,2.01818,0.0012872,0.0012872,0.0012872
