                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.05256,                0.98214,                      1,                0.76695,             0.00024747,             0.00024747,             0.00024747
                     68,                0.05451,                0.98661,                      1,                0.76535,              0.0002404,              0.0002404,              0.0002404
                     69,                0.06878,                0.98661,                      1,                0.76332,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02921,                0.97768,                      1,                0.76514,             0.00022627,             0.00022627,             0.00022627
                     71,                0.05409,                0.97768,                      1,                0.76709,              0.0002192,              0.0002192,              0.0002192
                     72,                0.05194,                0.97768,                      1,                0.76556,             0.00021213,             0.00021213,             0.00021213
                     73,                0.06976,                0.98214,                      1,                0.76562,             0.00020506,             0.00020506,             0.00020506
                     74,                0.05641,                0.98214,                      1,                 0.7666,             0.00019799,             0.00019799,             0.00019799
                     75,                0.04415,                0.98661,                      1,                0.76395,             0.00019092,             0.00019092,             0.00019092
                     76,                0.04238,                0.98214,                      1,                0.76493,             0.00018385,             0.00018385,             0.00018385
                     77,                0.05433,                0.97768,                      1,                0.76939,             0.00017679,             0.00017679,             0.00017679
                     78,                0.04445,                0.97768,                      1,                0.76904,             0.00016972,             0.00016972,             0.00016972
                     79,                0.09209,                0.98214,                      1,                0.76828,             0.00016265,             0.00016265,             0.00016265
                     80,                0.09945,                0.97768,                      1,                0.76967,             0.00015558,             0.00015558,             0.00015558
                     81,                0.03599,                0.98214,                      1,                0.76967,             0.00014851,             0.00014851,             0.00014851
                     82,                0.05902,                0.97768,                      1,                0.77079,             0.00014144,             0.00014144,             0.00014144
                     83,                0.04803,                0.96875,                      1,                0.77393,             0.00013437,             0.00013437,             0.00013437
                     84,                0.05985,                0.97321,                      1,                0.76939,             0.00012731,             0.00012731,             0.00012731
                     85,                0.07344,                0.97768,                      1,                0.77107,             0.00012024,             0.00012024,             0.00012024
                     86,                0.06049,                0.97768,                      1,                 0.7673,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07873,                0.98661,                      1,                0.76611,              0.0001061,              0.0001061,              0.0001061
                     88,                0.05442,                0.98214,                      1,                0.76821,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.03863,                0.98214,                      1,                0.76814,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.05253,                0.98661,                      1,                0.76932,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.04442,                0.98214,                      1,                0.76751,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.03708,                0.97768,                      1,                0.77002,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.04759,                0.98214,                      1,                0.76786,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.04728,                0.98214,                      1,                0.76786,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.06335,                0.97768,                      1,                0.76876,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.08613,                0.98661,                      1,                0.76744,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04222,                0.97321,                      1,                0.77051,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.04839,                0.98214,                      1,                0.76709,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.04234,                0.97768,                      1,                0.76953,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.04365,                0.97768,                      1,                0.76876,             1.4209e-05,             1.4209e-05,             1.4209e-05
