epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1390.33,0.82011,1.46152,0.73336,1.02873,0.87131,0.84672,0.88144,0.68675,0.86379,0.83942,0.87913,0.67567,0.77047,1.51184,0.65622,1.12531,0.0014258,0.0014258,0.0014258
31,1435.81,0.8283,1.48352,0.73244,1.03654,0.8863,0.79657,0.86791,0.63982,0.88731,0.78832,0.8601,0.6511,0.9651,1.31861,0.75284,1.35215,0.001406,0.001406,0.001406
32,1481.04,0.80515,1.44661,0.72131,1.02818,0.83414,0.84431,0.88714,0.66516,0.8198,0.83022,0.87367,0.66963,0.89529,1.75862,0.90557,1.20345,0.0013862,0.0013862,0.0013862
33,1525.35,0.80087,1.426,0.71803,1.02585,0.87583,0.78102,0.866,0.64838,0.89916,0.781,0.88158,0.65475,0.76709,1.47886,0.7761,1.13321,0.0013664,0.0013664,0.0013664
34,1571.16,0.80821,1.43624,0.70979,1.0185,0.9142,0.78102,0.8788,0.6875,0.92274,0.78832,0.88674,0.68484,0.71623,1.26313,0.68772,1.10541,0.0013466,0.0013466,0.0013466
35,1616.95,0.80499,1.42012,0.71143,1.02645,0.87324,0.82482,0.89066,0.67894,0.8572,0.81022,0.88009,0.67652,1.16574,1.45584,0.88177,1.43901,0.0013268,0.0013268,0.0013268
36,1662.88,0.79972,1.43972,0.70491,1.02029,0.91326,0.81752,0.89244,0.6781,0.89695,0.80292,0.88226,0.68068,1.01877,1.43055,0.72341,1.44107,0.001307,0.001307,0.001307
37,1708.26,0.79184,1.42714,0.6993,1.01444,0.87818,0.81022,0.87954,0.67291,0.87818,0.81022,0.8761,0.67269,0.78849,1.46512,0.86117,1.13844,0.0012872,0.0012872,0.0012872
38,1753.2,0.7946,1.44022,0.70286,1.01908,0.87615,0.8262,0.8691,0.67118,0.87483,0.81629,0.87094,0.68328,0.94319,1.67962,0.83036,1.28414,0.0012674,0.0012674,0.0012674
39,1798.45,0.7863,1.40204,0.68781,1.01109,0.89047,0.78102,0.86841,0.67341,0.91075,0.78102,0.88103,0.67235,0.99409,1.36189,0.73808,1.3419,0.0012476,0.0012476,0.0012476
40,1843.77,0.79249,1.40234,0.69372,1.01911,0.90134,0.80292,0.88079,0.67901,0.91057,0.78102,0.86983,0.66634,0.94816,1.42473,0.88109,1.31061,0.0012278,0.0012278,0.0012278
