                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.08001,                0.94712,                      1,                0.37012,             0.00025454,             0.00025454,             0.00025454
                     67,                0.08858,                0.94872,                      1,                0.37037,             0.00024747,             0.00024747,             0.00024747
                     68,                0.08097,                0.95032,                      1,                0.36907,              0.0002404,              0.0002404,              0.0002404
                     69,                0.08411,                0.94551,                      1,                0.37339,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.0801,                0.94391,                      1,                0.36832,             0.00022627,             0.00022627,             0.00022627
                     71,                0.08563,                 0.9359,                      1,                 0.3793,              0.0002192,              0.0002192,              0.0002192
                     72,                0.08251,                0.94551,                      1,                 0.3703,             0.00021213,             0.00021213,             0.00021213
                     73,                0.07595,                0.94872,                      1,                0.37085,             0.00020506,             0.00020506,             0.00020506
                     74,                0.08465,                0.94071,                      1,                 0.3715,             0.00019799,             0.00019799,             0.00019799
                     75,                0.07752,                 0.9375,                      1,                0.37184,             0.00019092,             0.00019092,             0.00019092
                     76,                0.07989,                 0.9375,                      1,                0.37706,             0.00018385,             0.00018385,             0.00018385
                     77,                0.07863,                0.94391,                      1,                0.37504,             0.00017679,             0.00017679,             0.00017679
                     78,                0.07381,                0.94712,                      1,                0.37036,             0.00016972,             0.00016972,             0.00016972
                     79,                0.08481,                0.94712,                      1,                0.36888,             0.00016265,             0.00016265,             0.00016265
                     80,                0.07527,                0.94391,                      1,                0.36732,             0.00015558,             0.00015558,             0.00015558
                     81,                0.07901,                0.95192,                      1,                0.36788,             0.00014851,             0.00014851,             0.00014851
                     82,                0.07416,                0.95032,                      1,                 0.3668,             0.00014144,             0.00014144,             0.00014144
                     83,                 0.0813,                0.95353,                      1,                0.36754,             0.00013437,             0.00013437,             0.00013437
                     84,                0.07646,                0.95192,                      1,                0.36675,             0.00012731,             0.00012731,             0.00012731
                     85,                0.07793,                0.95032,                      1,                0.36809,             0.00012024,             0.00012024,             0.00012024
                     86,                0.07318,                0.94712,                      1,                0.36799,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07767,                0.95353,                      1,                0.36537,              0.0001061,              0.0001061,              0.0001061
                     88,                0.07134,                0.94712,                      1,                0.36598,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.07345,                0.94551,                      1,                 0.3688,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.06808,                0.95032,                      1,                0.36703,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.07163,                0.95032,                      1,                0.36523,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.07247,                0.94872,                      1,                 0.3663,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.06797,                0.94551,                      1,                0.36758,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.07386,                0.94391,                      1,                0.36794,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.07388,                0.94391,                      1,                0.37046,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.07188,                0.94712,                      1,                0.36915,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.0664,                0.94712,                      1,                0.36975,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.06618,                0.94872,                      1,                0.36722,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.07086,                0.94872,                      1,                0.36797,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.06636,                0.95032,                      1,                0.36844,             1.4209e-05,             1.4209e-05,             1.4209e-05
